X,CH1,CH2,
Second,Volt,Volt,
1.10860e-02,2.01e+00,8.40e+00,
1.10880e-02,2.01e+00,8.32e+00,
1.10900e-02,2.01e+00,8.40e+00,
1.10920e-02,2.01e+00,8.32e+00,
1.10940e-02,2.01e+00,8.32e+00,
1.10960e-02,2.01e+00,8.40e+00,
1.10980e-02,2.01e+00,8.32e+00,
1.11000e-02,2.01e+00,8.40e+00,
1.11020e-02,2.01e+00,8.32e+00,
1.11040e-02,2.01e+00,8.40e+00,
1.11060e-02,2.01e+00,8.40e+00,
1.11080e-02,2.01e+00,8.40e+00,
1.11100e-02,2.01e+00,8.40e+00,
1.11120e-02,2.01e+00,8.40e+00,
1.11140e-02,2.01e+00,8.40e+00,
1.11160e-02,2.01e+00,8.40e+00,
1.11180e-02,2.01e+00,8.40e+00,
1.11200e-02,2.01e+00,8.40e+00,
1.11220e-02,2.01e+00,8.40e+00,
1.11240e-02,2.01e+00,8.40e+00,
1.11260e-02,2.01e+00,8.40e+00,
1.11280e-02,2.01e+00,8.48e+00,
1.11300e-02,2.01e+00,8.40e+00,
1.11320e-02,2.01e+00,8.48e+00,
1.11340e-02,2.01e+00,8.48e+00,
1.11360e-02,2.01e+00,8.48e+00,
1.11380e-02,2.01e+00,8.48e+00,
1.11400e-02,2.01e+00,8.48e+00,
1.11420e-02,2.01e+00,8.40e+00,
1.11440e-02,2.01e+00,8.40e+00,
1.11460e-02,2.01e+00,8.40e+00,
1.11480e-02,2.01e+00,8.48e+00,
1.11500e-02,2.01e+00,8.40e+00,
1.11520e-02,2.01e+00,8.48e+00,
1.11540e-02,2.01e+00,8.48e+00,
1.11560e-02,2.01e+00,8.48e+00,
