X,CH1,CH2,
Second,Volt,Volt,
1.15731e-01,4.12e-02,7.28e+00,
1.15732e-01,4.04e-02,7.28e+00,
1.15733e-01,4.00e-02,7.28e+00,
1.15734e-01,4.12e-02,7.28e+00,
1.15735e-01,4.12e-02,7.28e+00,
1.15736e-01,4.04e-02,7.36e+00,
1.15737e-01,4.04e-02,7.28e+00,
1.15738e-01,4.16e-02,7.28e+00,
1.15739e-01,4.12e-02,7.28e+00,
1.15740e-01,4.08e-02,7.28e+00,
1.15741e-01,4.12e-02,7.28e+00,
1.15742e-01,4.12e-02,7.36e+00,
1.15743e-01,4.04e-02,7.36e+00,
1.15744e-01,4.08e-02,7.36e+00,
1.15745e-01,4.12e-02,7.36e+00,
1.15746e-01,4.08e-02,7.28e+00,
1.15747e-01,4.08e-02,7.36e+00,
1.15748e-01,4.12e-02,7.36e+00,
1.15749e-01,4.12e-02,7.36e+00,
1.15750e-01,4.08e-02,7.36e+00,
1.15751e-01,4.12e-02,7.36e+00,
1.15752e-01,4.16e-02,7.36e+00,
1.15753e-01,4.08e-02,7.36e+00,
1.15754e-01,4.08e-02,7.36e+00,
1.15755e-01,4.12e-02,7.36e+00,
1.15756e-01,4.08e-02,7.36e+00,
1.15757e-01,4.04e-02,7.36e+00,
1.15758e-01,4.12e-02,7.36e+00,
1.15759e-01,4.12e-02,7.36e+00,
1.15760e-01,4.08e-02,7.36e+00,
1.15761e-01,4.12e-02,7.36e+00,
1.15762e-01,4.16e-02,7.36e+00,
1.15763e-01,4.04e-02,7.36e+00,
1.15764e-01,4.08e-02,7.36e+00,
1.15765e-01,4.12e-02,7.36e+00,
1.15766e-01,4.12e-02,7.44e+00,
1.15767e-01,4.04e-02,7.36e+00,
1.15768e-01,4.12e-02,7.44e+00,
1.15769e-01,4.12e-02,7.36e+00,
1.15770e-01,4.04e-02,7.44e+00,
1.15771e-01,4.12e-02,7.44e+00,
1.15772e-01,4.12e-02,7.44e+00,
1.15773e-01,4.08e-02,7.44e+00,
1.15774e-01,4.08e-02,7.36e+00,
1.15775e-01,4.12e-02,7.36e+00,
1.15776e-01,4.12e-02,7.36e+00,
1.15777e-01,4.04e-02,7.44e+00,
1.15778e-01,4.12e-02,7.44e+00,
1.15779e-01,4.08e-02,7.36e+00,
1.15780e-01,4.12e-02,7.36e+00,
1.15781e-01,4.08e-02,7.44e+00,
1.15782e-01,4.12e-02,7.36e+00,
1.15783e-01,4.12e-02,7.36e+00,
1.15784e-01,4.12e-02,7.44e+00,
1.15785e-01,4.12e-02,7.44e+00,
1.15786e-01,4.12e-02,7.44e+00,
1.15787e-01,4.12e-02,7.44e+00,
1.15788e-01,4.08e-02,7.44e+00,
1.15789e-01,4.04e-02,7.36e+00,
1.15790e-01,4.08e-02,7.44e+00,
1.15791e-01,4.08e-02,7.44e+00,
1.15792e-01,4.08e-02,7.44e+00,
1.15793e-01,4.08e-02,7.36e+00,
1.15794e-01,4.16e-02,7.36e+00,
1.15795e-01,4.12e-02,7.44e+00,
1.15796e-01,4.08e-02,7.44e+00,
1.15797e-01,4.12e-02,7.44e+00,
1.15798e-01,4.12e-02,7.44e+00,
1.15799e-01,4.08e-02,7.44e+00,
1.15800e-01,4.08e-02,7.44e+00,
1.15801e-01,4.12e-02,7.44e+00,
1.15802e-01,4.12e-02,7.36e+00,
1.15803e-01,4.04e-02,7.44e+00,
1.15804e-01,4.12e-02,7.44e+00,
1.15805e-01,4.16e-02,7.44e+00,
1.15806e-01,4.08e-02,7.44e+00,
1.15807e-01,4.08e-02,7.36e+00,
1.15808e-01,4.12e-02,7.44e+00,
1.15809e-01,4.04e-02,7.36e+00,
1.15810e-01,4.04e-02,7.44e+00,
1.15811e-01,4.12e-02,7.44e+00,
